"unique_id","date_of_bite","species","breed","age","gender","spay_neuter","borough","zip_code","pit_bull","zip_match","zip_code_imputed"
5071,2017-09-12,"DOG","Mixed/Other",NA,"U",FALSE,"Manhattan","10001",FALSE,TRUE,"10001"
5072,2017-09-06,"DOG","PIT BULL / GERMAN SHEPHERD MIX",1,"M",FALSE,"Manhattan","10037",TRUE,TRUE,"10037"
5073,2017-09-17,"DOG","Pit Bull",NA,"U",FALSE,"Manhattan","10029",TRUE,TRUE,"10029"
5074,2017-09-16,"DOG","American Staffordshire Terrier",2,"M",FALSE,"Manhattan","10018",FALSE,TRUE,"10018"
5075,2017-09-14,"DOG","TERRIER MIX",3,"F",TRUE,"Manhattan","10037",FALSE,TRUE,"10037"
5076,2017-09-16,"DOG","Shih Tzu",11,"M",FALSE,"Manhattan","10065",FALSE,TRUE,"10065"
5077,2017-09-17,"DOG","SHIH TZU CROSSBREED",3,"F",TRUE,"Manhattan","10003",FALSE,TRUE,"10003"
5078,2017-09-16,"DOG","Maltese",8,"M",TRUE,"Manhattan","10019",FALSE,TRUE,"10019"
5079,2017-09-08,"DOG","Pomeranian",7,"M",FALSE,"Manhattan",NA,FALSE,NA,"10029"
5080,2017-09-16,"DOG","POMERANIAN/ HUSKY",8,"M",TRUE,"Manhattan","10029",FALSE,TRUE,"10029"
5081,2017-09-18,"DOG","Greyhound",7,"M",FALSE,"Manhattan","10024",FALSE,TRUE,"10024"
5082,2017-09-20,"DOG","Pit Bull",1,"M",TRUE,"Manhattan","10030",TRUE,TRUE,"10030"
5083,2017-09-09,"DOG","Shih Tzu",3,"M",TRUE,"Manhattan","10128",FALSE,TRUE,"10128"
5084,2017-09-17,"DOG","Pomeranian",16,"M",FALSE,"Manhattan","10035",FALSE,TRUE,"10035"
5085,2017-09-18,"DOG","TERRIER MIX",10,"M",TRUE,"Manhattan",NA,FALSE,NA,"10021"
5086,2017-09-19,"DOG","Dachshund Smooth Coat",NA,"U",FALSE,"Manhattan","10023",FALSE,TRUE,"10023"
5087,2017-09-21,"DOG","TERRIER",NA,"U",FALSE,"Manhattan",NA,FALSE,NA,"10029"
5088,2017-09-22,"DOG","Portuguese Water Dog",11,"M",TRUE,"Manhattan","10022",FALSE,TRUE,"10022"
5089,2017-09-22,"DOG","Pit Bull",1,"M",FALSE,"Manhattan","10026",TRUE,TRUE,"10026"
